"","date_use","cumulative_persons_tested_all","cumulative_positive_persons_all","percent_positive_persons_cum","persons_tested_all","positive_persons_all","percent_positive_persons","avg_persons_tested_all","avg_positive_persons_all","percent_positive_persons_cum_avg"
"1",2020-10-09,2785296,274522,"9.9%",7,3,"42.9%",8436,674,"8%"
"2",2020-10-08,2785289,274519,"9.9%",3739,285,"7.6%",10686,843,"7.9%"
"3",2020-10-07,2781550,274234,"9.9%",9930,820,"8.3%",12080,967,"8%"
"4",2020-10-06,2771620,273414,"9.9%",14797,1136,"7.7%",12604,1025,"8.1%"
"5",2020-10-05,2756823,272278,"9.9%",12469,1100,"8.8%",12458,1025,"8.2%"
"6",2020-10-04,2744354,271178,"9.9%",7288,554,"7.6%",12215,1006,"8.2%"
"7",2020-10-03,2737066,270624,"9.9%",10821,822,"7.6%",12071,1006,"8.3%"
"8",2020-10-02,2726245,269802,"9.9%",15760,1187,"7.5%",11895,1005,"8.4%"
"9",2020-10-01,2710485,268615,"9.9%",13497,1149,"8.5%",11850,1000,"8.4%"
"10",2020-09-30,2696988,267466,"9.9%",13594,1224,"9%",12087,1005,"8.3%"
"11",2020-09-29,2683394,266242,"9.9%",13780,1140,"8.3%",12344,990,"8%"
"12",2020-09-28,2669614,265102,"9.9%",10766,967,"9%",12575,991,"7.9%"
"13",2020-09-27,2658848,264135,"9.9%",6282,556,"8.9%",12982,999,"7.7%"
"14",2020-09-26,2652566,263579,"9.9%",9587,811,"8.5%",13030,998,"7.7%"
"15",2020-09-25,2642979,262768,"9.9%",15444,1155,"7.5%",12988,995,"7.7%"
"16",2020-09-24,2627535,261613,"10%",15155,1181,"7.8%",12917,974,"7.5%"
"17",2020-09-23,2612380,260432,"10%",15393,1120,"7.3%",12962,963,"7.4%"
"18",2020-09-22,2596987,259312,"10%",15398,1144,"7.4%",12930,968,"7.5%"
"19",2020-09-21,2581589,258168,"10%",13618,1024,"7.5%",12790,954,"7.5%"
"20",2020-09-20,2567971,257144,"10%",6615,553,"8.4%",12612,941,"7.5%"
"21",2020-09-19,2561356,256591,"10%",9296,787,"8.5%",12474,925,"7.4%"
"22",2020-09-18,2552060,255804,"10%",14947,1010,"6.8%",12467,915,"7.3%"
"23",2020-09-17,2537113,254794,"10%",15465,1105,"7.1%",12494,901,"7.2%"
"24",2020-09-16,2521648,253689,"10.1%",15170,1151,"7.6%",12410,877,"7.1%"
"25",2020-09-15,2506478,252538,"10.1%",14421,1050,"7.3%",12396,872,"7%"
"26",2020-09-14,2492057,251488,"10.1%",12369,934,"7.6%",12109,861,"7.1%"
"27",2020-09-13,2479688,250554,"10.1%",5649,437,"7.7%",10925,784,"7.2%"
"28",2020-09-12,2474039,250117,"10.1%",9251,715,"7.7%",10753,775,"7.2%"
"29",2020-09-11,2464788,249402,"10.1%",15136,912,"6%",10576,760,"7.2%"
"30",2020-09-10,2449652,248490,"10.1%",14876,941,"6.3%",10293,777,"7.5%"
"31",2020-09-09,2434776,247549,"10.2%",15069,1115,"7.4%",10194,799,"7.8%"
"32",2020-09-08,2419707,246434,"10.2%",12413,971,"7.8%",10138,807,"8%"
"33",2020-09-07,2407294,245463,"10.2%",4079,394,"9.7%",10426,834,"8%"
"34",2020-09-06,2403215,245069,"10.2%",4444,379,"8.5%",11536,930,"8.1%"
"35",2020-09-05,2398771,244690,"10.2%",8014,609,"7.6%",11901,958,"8%"
"36",2020-09-04,2390757,244081,"10.2%",13159,1033,"7.9%",12178,1000,"8.2%"
"37",2020-09-03,2377598,243048,"10.2%",14183,1092,"7.7%",12270,1009,"8.2%"
"38",2020-09-02,2363415,241956,"10.2%",14675,1174,"8%",12254,1031,"8.4%"
"39",2020-09-01,2348740,240782,"10.3%",14425,1158,"8%",12544,1062,"8.5%"
"40",2020-08-31,2334315,239624,"10.3%",11855,1067,"9%",12676,1090,"8.6%"
"41",2020-08-30,2322460,238557,"10.3%",6994,572,"8.2%",12861,1123,"8.7%"
"42",2020-08-29,2315466,237985,"10.3%",9953,902,"9.1%",12917,1141,"8.8%"
"43",2020-08-28,2305513,237083,"10.3%",13802,1096,"7.9%",13007,1147,"8.8%"
"44",2020-08-27,2291711,235987,"10.3%",14072,1251,"8.9%",13282,1194,"9%"
"45",2020-08-26,2277639,234736,"10.3%",16704,1391,"8.3%",13531,1214,"9%"
"46",2020-08-25,2260935,233345,"10.3%",15353,1350,"8.8%",13465,1221,"9.1%"
"47",2020-08-24,2245582,231995,"10.3%",13150,1300,"9.9%",13654,1248,"9.1%"
"48",2020-08-23,2232432,230695,"10.3%",7386,700,"9.5%",13670,1242,"9.1%"
"49",2020-08-22,2225046,229995,"10.3%",10582,939,"8.9%",13849,1256,"9.1%"
