Var1,Freq,year,cum2017,ymd
2017-01-01,548,2017,548,2017-01-01
2017-01-02,613,2017,1161,2017-01-02
2017-01-03,628,2017,1789,2017-01-03
2017-01-04,619,2017,2408,2017-01-04
2017-01-05,612,2017,3020,2017-01-05
2017-01-06,579,2017,3599,2017-01-06
2017-01-07,548,2017,4147,2017-01-07
2017-01-08,549,2017,4696,2017-01-08
2017-01-09,700,2017,5396,2017-01-09
2017-01-10,689,2017,6085,2017-01-10
2017-01-11,677,2017,6762,2017-01-11
2017-01-12,620,2017,7382,2017-01-12
2017-01-13,598,2017,7980,2017-01-13
2017-01-14,558,2017,8538,2017-01-14
2017-01-15,551,2017,9089,2017-01-15
2017-01-16,624,2017,9713,2017-01-16
2017-01-17,750,2017,10463,2017-01-17
2017-01-18,624,2017,11087,2017-01-18
2017-01-19,637,2017,11724,2017-01-19
2017-01-20,664,2017,12388,2017-01-20
2017-01-21,578,2017,12966,2017-01-21
2017-01-22,467,2017,13433,2017-01-22
2017-01-23,681,2017,14114,2017-01-23
2017-01-24,708,2017,14822,2017-01-24
2017-01-25,657,2017,15479,2017-01-25
2017-01-26,630,2017,16109,2017-01-26
2017-01-27,621,2017,16730,2017-01-27
2017-01-28,582,2017,17312,2017-01-28
2017-01-29,532,2017,17844,2017-01-29
2017-01-30,686,2017,18530,2017-01-30
2017-01-31,694,2017,19224,2017-01-31
2017-02-01,738,2017,19962,2017-02-01
2017-02-02,652,2017,20614,2017-02-02
2017-02-03,588,2017,21202,2017-02-03
2017-02-04,551,2017,21753,2017-02-04
2017-02-05,538,2017,22291,2017-02-05
2017-02-06,732,2017,23023,2017-02-06
2017-02-07,705,2017,23728,2017-02-07
2017-02-08,622,2017,24350,2017-02-08
2017-02-09,637,2017,24987,2017-02-09
2017-02-10,607,2017,25594,2017-02-10
2017-02-11,569,2017,26163,2017-02-11
2017-02-12,567,2017,26730,2017-02-12
2017-02-13,681,2017,27411,2017-02-13
2017-02-14,637,2017,28048,2017-02-14
2017-02-15,644,2017,28692,2017-02-15
2017-02-16,600,2017,29292,2017-02-16
2017-02-17,518,2017,29810,2017-02-17
2017-02-18,563,2017,30373,2017-02-18
2017-02-19,544,2017,30917,2017-02-19
2017-02-20,687,2017,31604,2017-02-20
2017-02-21,705,2017,32309,2017-02-21
2017-02-22,708,2017,33017,2017-02-22
2017-02-23,622,2017,33639,2017-02-23
2017-02-24,563,2017,34202,2017-02-24
2017-02-25,495,2017,34697,2017-02-25
2017-02-26,531,2017,35228,2017-02-26
2017-02-27,724,2017,35952,2017-02-27
2017-02-28,664,2017,36616,2017-02-28
2017-03-01,659,2017,37275,2017-03-01
2017-03-02,664,2017,37939,2017-03-02
